股票代號,股票名稱,產業別,收盤價,MA20,評分,外資近3日淨買超,投信近3日淨買超,自營商,外資連買天數
2883,凱基金,金融保險,21.5,20.830000000000002,92771571.9,88353878.0,-5248350.0,210244,3.0
1560,中砂,電機機械,540.0,514.7,2735070.0,2188056.0,243000.0,127004,3.0
6015,宏遠證,金融業,14.2,13.4875,2409700.0,2409700.0,0.0,0,3.0
5864,致和證,金融業,28.5,25.2075,2184886.0,2184886.0,0.0,0,3.0
6197,佳必琪,電子工業,208.0,182.15,1729185.0,1729185.0,0.0,-162898,3.0
4542,科嶠,電子零組件業,199.0,173.775,570600.0,570600.0,0.0,-6229,3.0
5464,霖宏,電子零組件業,33.0,30.329999999999995,426000.0,426000.0,0.0,0,3.0
4543,萬在,電機機械,38.5,36.0,405000.0,405000.0,0.0,-654,3.0
4949,有成精密,光電業,105.5,85.835,389025.0,370500.0,-1000.0,26966,3.0
2850,新產,金融保險,133.0,123.5,372750.0,355000.0,-146000.0,12017,3.0
1591,駿吉-KY,電機機械,64.9,56.33,268000.0,268000.0,0.0,-35513,3.0
3057,喬鼎,電子工業,20.15,18.052500000000002,199000.0,199000.0,0.0,-14000,3.0
6204,艾華,電子零組件業,71.5,64.33500000000001,164850.0,157000.0,0.0,216,3.0
8121,越峰,電子零組件業,28.5,26.07,151000.0,151000.0,0.0,-720,3.0
8071,能率網通,電子零組件業,16.4,16.1325,135000.0,135000.0,0.0,0,3.0
6118,建達,電子通路業,17.85,17.437500000000004,120000.0,120000.0,0.0,-66,3.0
2035,唐榮,鋼鐵工業,28.3,15.467500000000001,3000.0,3000.0,0.0,0,3.0
3498,陽程,其他電子類,87.7,81.11999999999999,2385600.0,2272000.0,0.0,62982,3.0
3023,信邦,電子工業,283.5,275.4,2373385.35,2260367.0,-593406.0,30332,3.0
3680,家登,半導體業,537.0,438.425,2273758.2,2165484.0,0.0,136528,3.0
6446,藥華藥,生技醫療業,661.0,641.15,1243887.6,1036573.0,54160.0,-9506,3.0
6412,群電,電子工業,81.0,77.85,1102645.95,1050139.0,-1523402.0,12225,3.0
6125,廣運,光電業,55.8,54.815,654202.5,623050.0,0.0,3875,3.0
6937,天虹,半導體業,331.0,295.5,380871.75,362735.0,0.0,100211,3.0
6579,研揚,電子工業,121.5,117.325,256200.0,244000.0,0.0,1000,3.0
9940,信義,其他,20.0,19.990000000000002,195000.0,195000.0,0.0,-5000,3.0
2425,承啟,電子工業,30.3,29.127499999999998,179550.0,171000.0,0.0,3000,3.0
5474,聰泰,電腦及週邊設備業,154.0,140.05,106000.0,106000.0,0.0,-2648,3.0
6101,寬魚國際,文化創意業,40.45,39.4,32000.0,32000.0,0.0,0,3.0
5203,訊連,資訊服務業,65.4,63.545,107000.0,107000.0,0.0,-1000,3.0
