股票代號,股票名稱,產業別,收盤價,MA20,評分,外資近3日淨買超,投信近3日淨買超,自營商,外資連買天數
6282,康舒,電子零組件業,55.4,49.480000000000004,43465561.65,41395773.0,-1000.0,1733438,3.0
2610,華航,航運業,19.15,18.185,41845401.15,39852763.0,-919854.0,551893,3.0
2027,大成鋼,鋼鐵工業,39.95,37.7775,40948669.0,40948669.0,-1385000.0,-263396,3.0
2542,興富發,建材營造,41.65,37.795,18153942.5,14523154.0,38000.0,87187,3.0
5388,中磊,通信網路業,87.3,81.08500000000001,12933217.5,12317350.0,-50000.0,149872,3.0
2376,技嘉,電子工業,324.5,284.825,7939845.6,6616538.0,109528.0,-12095,3.0
2897,王道銀行,金融保險,10.25,10.1825,7203862.8,6003219.0,16000.0,-15000,3.0
2395,研華,電子工業,478.5,380.525,5512462.5,4409970.0,121555.0,30497,3.0
6206,飛捷,電子工業,130.5,109.375,2282839.65,2174133.0,-29783.0,18784,3.0
5471,松翰,電子工業,49.85,43.205,1979297.25,1885045.0,0.0,99103,3.0
3491,昇達科,通信網路業,1820.0,1671.5,1120046.4,933372.0,119397.0,-289,3.0
8438,昶昕,綠能環保,98.7,88.925,862575.0,821500.0,0.0,6391,3.0
5522,遠雄,建材營造,72.7,69.795,467788.0,467788.0,-351000.0,-2957,3.0
2545,皇翔,建材營造,38.95,37.61,404433.75,385175.0,0.0,26000,3.0
6227,茂綸,電子通路業,103.0,94.81,293202.0,293202.0,0.0,-60160,3.0
3229,晟鈦,電子工業,44.8,36.4375,285811.05,272201.0,0.0,6458,3.0
6494,九齊,半導體業,58.5,54.30999999999999,275999.0,275999.0,0.0,-16000,3.0
6259,百徽,電子零組件業,24.8,21.7,264200.0,264200.0,0.0,-2327,3.0
2450,神腦,通信網路業,30.1,29.925,214200.0,204000.0,0.0,64000,3.0
2892,第一金,金融保險,29.55,28.7,61572342.0,61572342.0,-442342.0,-49328,3.0
1216,統一,食品工業,73.9,71.39500000000001,21629735.0,21629735.0,-102530.0,-607985,3.0
3026,禾伸堂,電子零組件業,329.5,246.175,2564305.2,2136921.0,4450000.0,-68186,3.0
8390,金益鼎,綠能環保類,103.5,89.51,2062525.5,1964310.0,0.0,99791,3.0
9934,成霖,居家生活,9.88,9.4235,1469769.0,1469769.0,0.0,-17000,3.0
2302,麗正,半導體業,21.5,19.035,1306317.6,1244112.0,0.0,194145,3.0
8415,大國鋼,鋼鐵工業,34.55,33.8925,1209600.0,1008000.0,2000.0,-579000,3.0
8454,富邦媒,數位雲端,194.0,178.175,1048190.4,873492.0,266713.0,-981,3.0
8076,伍豐,電腦及週邊設備業,24.65,23.0625,601674.15,573023.0,0.0,4048,3.0
3046,建碁,電子工業,52.4,48.94,554925.0,528500.0,0.0,27690,3.0
3122,笙泉,半導體業,38.5,31.5,406018.0,406018.0,0.0,0,3.0
3537,堡達,電子零組件業,48.15,44.8525,258000.0,258000.0,0.0,0,3.0
2420,新巨,電子工業,56.5,55.13499999999999,223013.0,223013.0,0.0,-11000,3.0
2061,風青,電器電纜,22.0,18.115,213150.0,203000.0,0.0,11012,3.0
6115,鎰勝,電子工業,47.8,47.755,212100.0,202000.0,0.0,2825,3.0
6863,永道-KY,電子工業,113.0,101.51500000000001,161198.1,153522.0,0.0,3315,3.0
1558,伸興,電機機械,92.2,92.105,90326.0,90326.0,-958.0,-76,3.0
6651,全宇昕,半導體業,133.5,102.62,60855.0,60855.0,0.0,-13249,3.0
6703,軒郁,生技醫療業,119.5,113.45,38944.0,38944.0,0.0,0,3.0
3652,精聯,電子工業,30.9,29.494999999999997,30500.0,30500.0,0.0,-5991,3.0
1521,大億,汽車工業,25.7,25.02,20500.0,20500.0,0.0,-1000,3.0
9944,新麗,其他,17.1,16.5325,16700.0,16700.0,0.0,-2000,3.0
6504,南六,其他,40.75,40.325,16500.0,16500.0,0.0,-1000,3.0
2496,卓越,其他,66.2,65.2,12100.0,12100.0,0.0,0,3.0
2947,振宇五金,居家生活類,78.4,77.975,6000.0,6000.0,0.0,0,3.0
8416,實威,資訊服務業,175.0,171.45,3000.0,3000.0,0.0,0,3.0
6015,宏遠證,金融業,16.9,14.155000000000001,3202000.0,3202000.0,0.0,0,3.0
6768,志強-KY,運動休閒,92.0,81.81,696357.5,557086.0,360916.0,17157,3.0
