rank,stock_id,stock_name,market,listed_market,official_industry_raw,normalized_industry,listing_date,is_active_latest_price,latest_price_date,latest_close,revenue_12m,revenue_month_count,revenue_period_start,revenue_period_end,ranking_basis,source,source_date,quality_note
,3685,元創精密,tpex,上櫃,光電業,光電業,2010-12-08,true,2026-07-29,34.1,1312154000,12,2025-05-01,2026-04-01,not_ranked_or_inactive,V5 SQLite TaiwanStockInfo/TaiwanStockMonthRevenue/TaiwanStockPrice,2026-07-29,官方母體與暫排行；產品子題待後續熱力圖輪到時補官方產品頁與細分分類。
,3691,碩禾,tpex,上櫃,光電業,光電業,2010-11-18,true,2026-07-29,100.5,7421959000,12,2025-05-01,2026-04-01,not_ranked_or_inactive,V5 SQLite TaiwanStockInfo/TaiwanStockMonthRevenue/TaiwanStockPrice,2026-07-29,官方母體與暫排行；產品子題待後續熱力圖輪到時補官方產品頁與細分分類。
,3698,隆達,twse,上市,光電業,光電業,,false,2026-07-09,27.65,9171302000,12,2020-02-01,2021-01-01,not_ranked_or_inactive,V5 SQLite TaiwanStockInfo/TaiwanStockMonthRevenue/TaiwanStockPrice,2026-07-29,官方母體與暫排行；產品子題待後續熱力圖輪到時補官方產品頁與細分分類。
,3713,新晶投控,tpex,上櫃,光電業,光電業,2020-02-27,true,2026-07-29,14.35,328292000,12,2025-05-01,2026-04-01,not_ranked_or_inactive,V5 SQLite TaiwanStockInfo/TaiwanStockMonthRevenue/TaiwanStockPrice,2026-07-29,官方母體與暫排行；產品子題待後續熱力圖輪到時補官方產品頁與細分分類。
,3714,富采,twse,上市,光電業,光電業,2021-01-06,true,2026-07-29,46.1,21796544000,12,2025-05-01,2026-04-01,not_ranked_or_inactive,V5 SQLite TaiwanStockInfo/TaiwanStockMonthRevenue/TaiwanStockPrice,2026-07-29,官方母體與暫排行；產品子題待後續熱力圖輪到時補官方產品頁與細分分類。
,4537,旭東,emerging,emerging,光電業,光電業,,true,2026-07-29,94.9,,0,,,not_ranked_or_inactive,V5 SQLite TaiwanStockInfo/TaiwanStockMonthRevenue/TaiwanStockPrice,2026-07-29,官方母體與暫排行；產品子題待後續熱力圖輪到時補官方產品頁與細分分類。
,4729,熒茂,tpex,上櫃,光電業,光電業,2009-02-24,true,2026-07-29,17.65,1048423000,12,2025-05-01,2026-04-01,not_ranked_or_inactive,V5 SQLite TaiwanStockInfo/TaiwanStockMonthRevenue/TaiwanStockPrice,2026-07-29,官方母體與暫排行；產品子題待後續熱力圖輪到時補官方產品頁與細分分類。
,4749,新應材,emerging,emerging,光電業,光電業,2025-01-17,true,2026-07-29,664.0,4498332000,12,2025-06-01,2026-05-01,not_ranked_or_inactive,V5 SQLite TaiwanStockInfo/TaiwanStockMonthRevenue/TaiwanStockPrice,2026-07-29,官方母體與暫排行；產品子題待後續熱力圖輪到時補官方產品頁與細分分類。
,4933,友輝,tpex,上櫃,光電業,光電業,2010-05-04,true,2026-07-29,51.7,3009721000,12,2025-05-01,2026-04-01,not_ranked_or_inactive,V5 SQLite TaiwanStockInfo/TaiwanStockMonthRevenue/TaiwanStockPrice,2026-07-29,官方母體與暫排行；產品子題待後續熱力圖輪到時補官方產品頁與細分分類。
,4934,太極,twse,上市,光電業,光電業,2011-08-16,true,2026-07-29,13.6,111246000,12,2025-05-01,2026-04-01,not_ranked_or_inactive,V5 SQLite TaiwanStockInfo/TaiwanStockMonthRevenue/TaiwanStockPrice,2026-07-29,官方母體與暫排行；產品子題待後續熱力圖輪到時補官方產品頁與細分分類。
