股票代號,股票名稱,產業別,收盤價,MA20,評分,外資近3日淨買超,投信近3日淨買超,自營商,外資連買天數
6770,力積電,半導體業,80.7,62.45,318432757.5,254746206.0,824000.0,10466555,3.0
2408,南亞科,半導體業,324.0,292.05,79006633.65,75244413.0,-2252395.0,528489,3.0
6548,長科*,半導體業,66.4,53.045,20298706.0,20298706.0,-582000.0,-90273,3.0
2369,菱生,電子工業,39.75,32.1425,13933604.0,13933604.0,0.0,-443662,3.0
6239,力成,電子工業,357.5,255.225,12736216.5,12129730.0,-329985.0,121664,3.0
8070,長華*,電子工業,50.9,46.955,7975467.0,7975467.0,-637588.0,-86444,3.0
8131,福懋科,半導體業,69.2,65.93499999999999,5855459.4,5576628.0,0.0,115399,3.0
2637,慧洋-KY,航運業,76.7,73.815,5290932.15,5038983.0,-242555.0,27337,3.0
3062,建漢,通信網路業,29.4,27.869999999999997,4200654.15,4000623.0,0.0,181970,3.0
6290,良維,電子零組件業,336.0,285.625,3996374.0,3996374.0,0.0,-211211,3.0
5522,遠雄,建材營造,72.0,70.36999999999999,1209656.7,1152054.0,-3000.0,25000,3.0
6143,振曜,通信網路業,101.5,95.735,1101555.0,1049100.0,0.0,17288,3.0
6134,萬旭,電子零組件業,32.95,31.735000000000003,841002.0,841002.0,0.0,-588,3.0
3265,台星科,半導體業,189.0,182.25,801816.25,641453.0,788.0,35855,3.0
2527,宏璟,建材營造,36.75,34.2325,657002.0,657002.0,-2186.0,-1980,3.0
4534,慶騰,電機機械,25.65,23.8675,549319.05,523161.0,0.0,9640,3.0
6558,興能高,其他電子業,32.3,30.7375,549101.7,522954.0,0.0,2000,3.0
3577,泓格,電腦及週邊設備業,161.0,115.46,445424.7,424214.0,0.0,2894,3.0
3467,台灣精材,半導體業,74.1,67.2,420124.0,420124.0,0.0,-4984,3.0
5236,凌陽創新,半導體業,181.5,170.725,302274.0,302274.0,0.0,-919,3.0
4768,晶呈科技,化學工業,491.0,475.875,268051.0,268051.0,0.0,-3284,3.0
6716,應廣,半導體業,117.5,96.1,265769.7,253114.0,0.0,9466,3.0
1713,國化,化學工業,49.35,47.62,170000.0,170000.0,0.0,-1000,3.0
3556,禾瑞亞,半導體業,61.1,53.56,162142.0,162142.0,0.0,-537,3.0
6259,百徽,電子零組件業,27.0,23.7725,139011.0,139011.0,0.0,-255,3.0
1583,程泰,電機機械,58.7,48.660000000000004,74760.0,71200.0,0.0,38,3.0
6174,安碁,電子零組件業,46.55,41.14,50027.25,47645.0,0.0,587,3.0
6870,騰雲,數位雲端類,263.0,202.85,35794.5,34090.0,0.0,7350,3.0
3632,研勤,通信網路業,9.3,8.239,6046.0,6046.0,0.0,0,3.0
2303,聯電,電子工業,142.0,106.98499999999999,98132634.6,93459652.0,-73186855.0,2337870,3.0
2885,元大金,金融保險,59.1,55.63000000000001,30060067.8,28628636.0,-26858221.0,177388,3.0
6005,群益證,金融保險,36.0,31.464999999999996,17018689.0,17018689.0,-1550563.0,0,3.0
6141,柏承,電子工業,43.2,33.769999999999996,2541945.0,2420900.0,0.0,11295,3.0
1709,和益,化學工業,19.6,18.58,1891060.5,1801010.0,0.0,3000,3.0
8473,山林水,綠能環保,45.95,37.38,1870430.0,1870430.0,0.0,-4587,3.0
8289,泰藝,電子零組件業,75.7,56.5825,1861065.0,1861065.0,0.0,-9231,3.0
3019,亞光,電子工業,149.5,147.05,1804396.0,1804396.0,0.0,-239214,3.0
6224,聚鼎,電子工業,88.7,79.265,1786050.0,1701000.0,0.0,24846,3.0
1476,儒鴻,紡織纖維,340.5,337.325,1677727.5,1342182.0,73696.0,82085,3.0
6757,台灣虎航,航運業,54.8,53.1675,1548833.0,1548833.0,0.0,-125,3.0
3607,谷崧,電子零組件業,15.2,14.580000000000002,482018.0,482018.0,0.0,0,3.0
2243,宏旭-KY,汽車工業,24.85,23.347500000000004,339392.55,323231.0,0.0,7004,3.0
9935,慶豐富,居家生活,18.6,18.407500000000002,322000.0,322000.0,0.0,0,3.0
6438,迅得,其他電子業,174.5,170.775,239306.55,227911.0,0.0,12565,3.0
4106,雃博,化學生技醫療,23.8,22.815,192000.0,192000.0,0.0,-1951,3.0
1521,大億,汽車工業,26.95,24.8125,172000.0,172000.0,0.0,0,3.0
1506,正道,電機機械,10.45,10.395,91000.0,91000.0,0.0,0,3.0
2066,世德,電機機械,57.8,52.235,53000.0,53000.0,0.0,0,3.0
4572,駐龍,電機機械,146.0,145.55,22099.0,22099.0,0.0,-5,3.0
2024,志聯,鋼鐵工業,14.1,13.147499999999999,14000.0,14000.0,0.0,0,3.0
6026,福邦證,金融業,16.25,15.782499999999999,3383500.0,3383500.0,0.0,0,3.0
