股票代號,股票名稱,產業別,收盤價,MA20,評分,外資近3日淨買超,投信近3日淨買超,自營商,外資連買天數
2890,永豐金,金融保險,34.25,30.702499999999997,66929560.0,53543648.0,1378621.0,797744,3.0
8070,長華*,電子工業,59.4,51.11,12073759.95,11498819.0,-15129972.0,40703,3.0
2897,王道銀行,金融保險,10.5,10.0755,11662546.0,11662546.0,0.0,-270000,3.0
8150,南茂,電子工業,95.9,90.08000000000001,6812382.5,5449906.0,488000.0,322469,3.0
2241,艾姆勒,汽車工業,39.7,35.239999999999995,2783661.0,2783661.0,0.0,-25986,3.0
4953,緯軟,資訊服務業,143.0,126.525,1298524.0,1298524.0,-1000.0,-438,3.0
3322,建舜電,電子零組件業,15.65,13.475,710327.1,676502.0,0.0,3784,3.0
2535,達欣工,建材營造,90.7,78.70500000000001,678843.0,678843.0,0.0,-108037,3.0
6174,安碁,電子零組件業,48.95,44.1425,662648.7,631094.0,0.0,45724,3.0
1598,岱宇,運動休閒,21.25,20.43,477562.0,477562.0,0.0,-6000,3.0
5288,豐祥-KY,電機機械,176.0,156.95,372403.0,372403.0,0.0,-1000,3.0
5493,三聯,其他電子類,100.5,92.66,366538.2,349084.0,0.0,3860,3.0
1906,寶隆,造紙工業,11.15,10.684999999999999,215100.0,215100.0,0.0,-879,3.0
6776,展碁國際,電子工業,61.3,58.879999999999995,158838.0,158838.0,0.0,-13000,3.0
3171,炎洲流通,居家生活類,79.4,70.12,57750.0,55000.0,0.0,495,3.0
8487,愛爾達-創,創新板股票,81.5,79.725,28000.0,28000.0,0.0,-6829,3.0
2884,玉山金,金融保險,34.2,31.967499999999994,53900253.6,44916878.0,1587048.0,-1404748,3.0
8422,可寧衛*,綠能環保,29.6,27.077499999999997,7285716.9,6938778.0,-10828000.0,86285,3.0
6121,新普,電腦及週邊設備業,415.0,390.7,2290820.7,2181734.0,-1453980.0,9325,3.0
1904,正隆,造紙工業,22.6,19.8475,2190831.3,2086506.0,-3000.0,32000,3.0
2645,長榮航太,航運業,173.5,161.525,1265464.2,1205204.0,-2000.0,84760,3.0
5904,寶雅,居家生活類,622.0,565.3,912055.0,729644.0,39790.0,55160,3.0
2497,怡利電,汽車工業,65.8,59.529999999999994,848206.8,807816.0,-2000.0,14026,3.0
4306,炎洲,塑膠工業,15.1,14.0775,839387.0,839387.0,0.0,-99000,3.0
4741,泓瀚,化學工業,76.0,61.775,711546.0,711546.0,0.0,-10815,3.0
1789,神隆,化學生技醫療,20.75,19.555,528537.0,528537.0,0.0,-5570,3.0
9911,櫻花,居家生活,84.9,82.78,494576.0,494576.0,0.0,-8303,3.0
4162,智擎,生技醫療業,57.0,55.355,446603.0,446603.0,0.0,-1244,3.0
5324,士開,建材營造,12.1,11.852500000000001,335000.0,335000.0,0.0,0,3.0
8341,日友,綠能環保,80.9,76.69,196147.0,196147.0,0.0,-4631,3.0
8349,恒耀,鋼鐵工業,42.45,41.58,142000.0,142000.0,0.0,-526,3.0
2727,王品,觀光餐旅,246.0,236.25,611052.0,611052.0,-1242.0,-3868,3.0
6721,信實,其他,59.2,50.040000000000006,3000.0,3000.0,0.0,0,3.0
