排行,股票代號,股票名稱,產業別,股價,投資組別,MA240乖離%,現金殖利率(5年均)%,盈餘發放率%,殖利率趨勢,連續配息年,填息均天數,連續獲利年,ROA(10年均)%,ROA趨勢,本業佔比,融資維持率%,預估進場價,融資追繳警戒價,通過條件數,C1>4%,C2填息,C3連配,C4上市,C5連獲,C6_ROA,C7本業,C8發放
118,1723,中碳,化學生技醫療,85.7,強勢,8.47,4.17,74.7,上升,11,35.2,13,10.64,下降,87.9,171.6,71.5,64.94,7,Y,N,Y,Y,Y,Y,Y,Y
119,1731,美吾華,生技醫療業,20.6,價值,-5.17,5.53,89.1,上升,11,81.2,12,5.01,下降,103.7,160.7,22.8,16.66,7,Y,N,Y,Y,Y,Y,Y,Y
120,3003,健和興,電子零組件業,61.1,強勢,15.09,2.52,37.0,上升,10,18.7,12,7.29,下降,95.2,163.6,30.8,48.54,7,N,Y,Y,Y,Y,Y,Y,Y
121,1215,卜蜂,食品工業,109.0,價值,-19.67,4.28,67.6,下降,11,78.2,12,8.75,上升,95.3,146.8,93.33,96.51,7,Y,N,Y,Y,Y,Y,Y,Y
122,6435,大中,半導體業,304.0,強勢,87.47,1.47,57.7,上升,10,23.7,13,15.3,下降,88.4,177.7,89.21,222.38,7,N,Y,Y,Y,Y,Y,Y,Y
123,8081,致新,電子工業,253.0,強勢,5.8,5.63,77.2,上升,11,50.2,12,13.75,連續下降,93.1,151.0,285.0,217.87,7,Y,N,Y,Y,Y,Y,Y,Y
124,1726,永記,化學工業,75.5,價值,-0.87,4.66,67.7,下降,10,138.5,12,7.89,下降,93.1,162.0,70.4,60.57,7,Y,N,Y,Y,Y,Y,Y,Y
125,1256,鮮活果汁-KY,食品工業,183.5,強勢,16.65,4.49,56.0,上升,11,46.0,12,13.93,下降,96.3,166.7,164.67,143.11,7,Y,N,Y,Y,Y,Y,Y,Y
126,1808,潤隆,建材營造,31.95,強勢,1.56,4.88,77.2,上升,10,25.2,12,4.93,下降,99.2,176.6,31.2,23.52,7,Y,N,Y,Y,Y,Y,Y,Y
127,3551,世禾,綠能環保類,192.0,強勢,4.43,0.6,19.6,下降,10,8.0,12,6.35,下降,93.0,157.6,23.2,158.35,7,N,Y,Y,Y,Y,Y,Y,Y
128,5288,豐祥-KY,電機機械,194.0,強勢,34.64,3.28,48.8,上升,10,40.0,13,13.27,上升,84.8,188.3,127.22,133.93,7,N,Y,Y,Y,Y,Y,Y,Y
129,3705,永信,生技醫療業,54.0,價值,-3.79,4.41,72.4,上升,11,86.0,12,6.71,上升,84.5,162.0,47.67,43.32,7,Y,N,Y,Y,Y,Y,Y,Y
130,6417,韋僑,通信網路業,118.5,強勢,6.13,1.0,31.5,上升,10,13.2,12,6.91,下降,92.5,151.1,23.6,101.96,7,N,Y,Y,Y,Y,Y,Y,Y
131,3023,信邦,電子零組件業,317.0,強勢,27.09,2.62,69.6,上升,10,32.0,13,10.35,上升,86.5,169.7,166.23,242.84,7,N,Y,Y,Y,Y,Y,Y,Y
132,8358,金居,電子零組件業,412.5,強勢,34.23,0.56,67.3,下降,8,18.8,10,11.25,下降,99.2,132.2,46.44,405.72,7,N,Y,Y,Y,Y,Y,Y,Y
133,3587,閎康,其他電子類,255.5,強勢,9.06,2.15,58.8,上升,10,26.3,12,8.63,連續下降,98.4,137.6,109.72,241.42,7,N,Y,Y,Y,Y,Y,Y,Y
134,2059,川湖,電子零組件業,8125.0,強勢,98.25,0.21,49.4,下降,10,21.8,12,17.39,上升,96.0,218.5,333.56,4833.53,7,N,Y,Y,Y,Y,Y,Y,Y
135,4728,雙美,生技醫療業,377.5,價值,-4.18,2.22,85.2,上升,9,58.3,10,19.69,上升,89.4,165.2,167.33,297.13,7,N,Y,Y,Y,Y,Y,Y,Y
136,3010,華立,電子通路業,119.0,強勢,3.81,4.6,57.3,上升,11,33.6,12,5.31,下降,80.7,152.8,109.5,101.23,7,Y,N,Y,Y,Y,Y,Y,Y
137,1232,大統益,食品工業,153.5,強勢,4.0,4.21,81.6,上升,11,60.3,13,17.22,連續下降,96.4,172.7,129.33,115.56,7,Y,N,Y,Y,Y,Y,Y,Y
138,9926,新海,油電燃氣業,49.05,價值,-1.49,4.0,77.7,上升,10,80.5,12,5.97,連續下降,85.8,165.5,39.2,38.52,7,N,Y,Y,Y,Y,Y,Y,Y
139,2476,鉅祥,電子零組件業,121.0,強勢,20.8,1.33,49.7,下降,10,20.8,13,7.46,下降,86.5,164.6,32.25,95.54,7,N,Y,Y,Y,Y,Y,Y,Y
140,2421,建準,電子零組件業,132.0,價值,-9.06,2.36,67.1,下降,11,30.0,12,8.58,連續上升,85.3,149.4,62.18,114.89,7,N,Y,Y,Y,Y,Y,Y,Y
141,5425,台半,半導體業,92.8,強勢,39.07,2.59,75.4,上升,10,34.2,12,8.4,下降,96.8,156.7,48.09,76.98,7,N,Y,Y,Y,Y,Y,Y,Y
142,3416,融程電,電子工業,179.5,強勢,10.74,2.23,68.4,下降,11,37.3,13,10.55,上升,94.0,172.3,80.09,135.44,7,N,Y,Y,Y,Y,Y,Y,Y
143,3596,智易,電子工業,187.5,價值,-3.58,3.31,61.3,下降,11,48.1,12,6.01,上升,94.9,169.5,124.07,143.83,7,N,Y,Y,Y,Y,Y,Y,Y
144,6190,萬泰科,通信網路業,71.5,強勢,29.76,2.09,81.9,上升,9,21.2,10,5.13,上升,78.0,150.4,29.85,61.8,7,N,Y,Y,Y,Y,Y,Y,Y
145,5274,信驊,半導體業,15510.0,強勢,58.52,0.28,81.5,下降,11,27.3,12,29.97,上升,96.8,153.9,860.0,13099.26,7,N,Y,Y,Y,Y,Y,Y,Y
146,5410,國眾,資訊服務業,36.8,強勢,9.19,5.21,87.5,下降,10,44.8,12,6.28,下降,81.2,153.8,38.36,31.11,7,Y,N,Y,Y,Y,Y,Y,Y
147,3034,聯詠,電子工業,501.0,強勢,17.98,6.22,82.4,上升,11,84.8,13,20.55,連續下降,95.9,170.6,623.67,381.67,7,Y,N,Y,Y,Y,Y,Y,Y
148,2383,台光電,電子零組件業,5125.0,強勢,98.46,0.2,59.6,下降,10,24.0,13,13.64,下降,99.0,169.5,207.85,3931.52,7,N,Y,Y,Y,Y,Y,Y,Y
149,8103,瀚荃,電子零組件業,80.0,價值,-1.83,2.56,55.7,上升,11,17.7,12,5.53,下降,90.1,130.4,40.98,79.76,7,N,Y,Y,Y,Y,Y,Y,Y
150,4953,緯軟,資訊服務業,126.5,強勢,5.43,3.78,63.3,下降,11,51.5,13,10.19,下降,65.9,167.4,95.53,98.27,7,N,Y,Y,Y,Y,Y,Y,Y
151,3324,雙鴻,其他電子類,908.0,價值,-3.78,0.85,44.5,下降,11,9.2,12,10.98,上升,88.8,146.3,154.5,806.87,7,N,Y,Y,Y,Y,Y,Y,Y
152,6509,聚和,化學工業,47.95,強勢,23.52,2.59,50.1,上升,10,26.0,12,5.33,上升,105.8,165.8,24.8,37.6,7,N,Y,Y,Y,Y,Y,Y,Y
153,5007,三星,鋼鐵工業,55.6,強勢,0.9,4.96,87.7,上升,11,66.2,12,12.0,下降,93.6,163.4,55.2,44.25,7,Y,N,Y,Y,Y,Y,Y,Y
154,3556,禾瑞亞,半導體業,63.5,強勢,38.04,4.67,88.3,上升,11,67.0,12,12.94,下降,93.0,164.8,59.27,50.1,7,Y,N,Y,Y,Y,Y,Y,Y
155,2455,全新,電子工業,324.5,強勢,44.92,0.87,87.0,上升,11,30.7,13,12.73,下降,98.1,148.4,56.43,284.18,7,N,Y,Y,Y,Y,Y,Y,Y
156,6257,矽格,半導體業,223.5,強勢,61.56,1.27,52.3,上升,11,24.7,13,7.54,下降,92.8,168.5,56.85,172.46,7,N,Y,Y,Y,Y,Y,Y,Y
157,3567,逸昌,半導體業,27.8,強勢,3.4,7.31,89.8,上升,11,82.0,12,12.2,下降,94.7,160.9,40.67,22.45,7,Y,N,Y,Y,Y,Y,Y,Y
158,2313,華通,電子零組件業,208.0,強勢,31.83,1.02,44.2,上升,11,21.2,12,6.54,上升,108.8,139.8,42.33,193.45,7,N,Y,Y,Y,Y,Y,Y,Y
159,8454,富邦媒,數位雲端,248.0,強勢,7.77,5.05,86.0,連續上升,11,74.8,12,12.37,連續下降,95.2,158.9,250.33,202.93,7,Y,N,Y,Y,Y,Y,Y,Y
160,3583,辛耘,電子工業,767.0,強勢,53.97,0.43,47.1,下降,10,17.7,12,6.88,下降,98.4,152.6,65.8,653.59,7,N,Y,Y,Y,Y,Y,Y,Y
161,6263,普萊德,通信網路業,156.0,強勢,10.44,4.08,92.0,下降,11,77.2,12,20.84,上升,95.6,158.9,127.33,127.67,7,Y,N,Y,Y,Y,Y,Y,Y
162,5439,高技,電子零組件業,251.5,價值,-21.15,1.25,75.5,下降,10,29.2,12,11.1,上升,97.2,119.8,62.8,272.88,7,N,Y,Y,Y,Y,Y,Y,Y
163,5234,達興材料,光電業,339.0,價值,-8.0,1.34,82.2,下降,10,55.5,12,13.71,下降,98.0,141.8,90.8,310.87,7,N,Y,Y,Y,Y,Y,Y,Y
164,3402,漢科,其他電子類,140.0,強勢,8.04,2.2,67.2,下降,10,37.7,12,7.23,上升,93.7,163.9,61.6,111.05,7,N,Y,Y,Y,Y,Y,Y,Y
165,9942,茂順,其他,123.5,強勢,9.87,4.66,75.9,上升,10,80.8,12,12.6,上升,95.3,173.0,115.2,92.82,7,Y,N,Y,Y,Y,Y,Y,Y
166,5534,長虹,建材營造,79.9,強勢,1.12,6.49,73.7,上升,10,69.7,12,7.75,上升,91.6,169.9,103.64,61.15,7,Y,N,Y,Y,Y,Y,Y,Y
167,3042,晶技,電子工業,169.0,強勢,46.5,3.19,79.4,上升,11,56.0,12,9.1,下降,86.0,149.6,107.67,146.85,7,N,Y,Y,Y,Y,Y,Y,Y
168,2520,冠德,建材營造,35.7,強勢,4.86,6.47,37.1,上升,10,53.3,12,4.7,下降,117.9,182.2,46.21,25.47,7,Y,N,Y,Y,Y,Y,Y,Y
169,6409,旭隼,其他電子業,998.0,強勢,4.14,3.33,86.4,上升,10,82.2,12,22.52,上升,98.7,187.8,664.3,690.85,7,N,Y,Y,Y,Y,Y,Y,Y
170,6261,久元,半導體業,86.2,強勢,14.25,5.1,85.6,上升,10,65.0,12,7.05,下降,92.8,139.4,88.0,80.4,7,Y,N,Y,Y,Y,Y,Y,Y
171,6470,宇智,通信網路業,47.05,強勢,2.34,6.58,70.6,下降,10,88.8,12,9.12,上升,99.1,162.2,61.96,37.7,7,Y,Y,Y,Y,Y,Y,N,Y
172,1560,中砂,電機機械,707.0,強勢,55.79,0.43,50.2,下降,11,31.7,12,10.09,上升,95.8,175.1,61.47,524.85,7,N,Y,Y,Y,Y,Y,Y,Y
173,2480,敦陽科,電子工業,159.0,強勢,3.07,3.99,93.8,下降,11,75.7,13,9.8,上升,92.1,173.2,126.81,119.32,7,N,Y,Y,Y,Y,Y,Y,Y
174,8930,青鋼,鋼鐵工業,31.35,強勢,3.35,5.21,91.3,連續上升,10,68.6,10,6.69,上升,98.2,180.7,32.67,22.55,7,Y,N,Y,Y,Y,Y,Y,Y
175,5511,德昌,建材營造,73.9,強勢,10.14,4.24,46.6,下降,11,58.4,12,5.87,上升,85.6,168.4,62.67,57.04,7,Y,N,Y,Y,Y,Y,Y,Y
176,8091,翔名,半導體業,258.5,強勢,67.15,1.84,71.8,上升,11,47.0,12,8.28,下降,93.1,174.0,95.02,193.14,7,N,Y,Y,Y,Y,Y,Y,Y
177,5434,崇越,電子工業,565.0,強勢,58.61,1.69,59.7,下降,11,52.2,12,9.64,上升,84.5,199.0,190.67,369.11,7,N,Y,Y,Y,Y,Y,Y,Y
178,9933,中鼎,其他,40.15,強勢,17.07,4.02,75.9,上升,10,43.8,12,3.09,下降,92.5,167.4,32.29,31.17,7,Y,Y,Y,Y,Y,N,Y,Y
179,3017,奇鋐,電子工業,2265.0,強勢,32.8,0.19,35.4,下降,10,28.0,12,6.89,連續上升,91.6,150.8,84.75,1952.66,7,N,Y,Y,Y,Y,Y,Y,Y
180,4987,科誠,電腦及週邊設備業,81.6,強勢,6.19,4.46,70.2,上升,10,129.0,12,10.89,上升,97.0,167.5,72.8,63.33,7,Y,N,Y,Y,Y,Y,Y,Y
181,4506,崇友,電機機械,121.0,強勢,0.75,2.99,75.3,下降,10,80.2,12,10.22,連續上升,91.5,169.1,72.4,93.0,7,N,Y,Y,Y,Y,Y,Y,Y
182,4995,晶達,光電業,45.75,強勢,4.09,5.86,82.5,上升,11,131.0,13,8.42,下降,97.4,168.6,53.62,35.27,7,Y,N,Y,Y,Y,Y,Y,Y
183,2006,東和鋼鐵,鋼鐵工業,71.1,強勢,5.91,5.51,68.8,上升,10,90.6,13,6.61,下降,97.6,174.4,78.4,52.99,7,Y,N,Y,Y,Y,Y,Y,Y
184,3388,崇越電,電子零組件業,74.5,強勢,3.19,5.51,79.9,上升,11,137.8,12,7.13,下降,96.8,130.6,82.16,74.15,7,Y,N,Y,Y,Y,Y,Y,Y
185,8112,至上,電子工業,88.1,強勢,23.65,4.27,78.5,上升,11,75.3,12,5.0,下降,117.6,165.4,75.29,69.25,7,Y,Y,Y,Y,Y,Y,N,Y
186,4958,臻鼎-KY,電子工業,559.0,強勢,115.4,0.8,48.1,上升,11,41.7,12,6.45,下降,95.0,179.7,89.99,404.31,7,N,Y,Y,Y,Y,Y,Y,Y
187,6177,達麗,建材營造,48.3,強勢,2.65,5.43,58.9,下降,4,75.8,12,3.94,下降,114.6,176.4,52.5,35.6,7,Y,Y,N,Y,Y,Y,Y,Y
188,1709,和益,化學生技醫療,27.9,強勢,53.43,4.23,75.7,下降,10,86.7,12,5.6,下降,92.5,219.4,23.6,16.53,7,Y,Y,Y,Y,Y,Y,N,Y
189,2423,固緯,電子工業,74.8,強勢,29.5,2.51,77.9,上升,11,93.3,12,9.53,上升,85.7,168.7,37.53,57.64,7,N,Y,Y,Y,Y,Y,Y,Y
190,2493,揚博,電子零組件業,262.0,強勢,95.63,1.42,83.7,下降,11,76.5,12,10.8,上升,99.5,220.0,74.17,154.82,7,N,Y,Y,Y,Y,Y,Y,Y
191,3577,泓格,電腦及週邊設備業,152.0,強勢,81.37,0.9,71.9,上升,11,55.5,12,8.09,下降,96.0,204.9,27.33,96.45,7,N,Y,Y,Y,Y,Y,Y,Y
192,2449,京元電子,電子工業,295.0,強勢,21.14,1.05,64.8,下降,10,57.0,12,7.59,上升,101.2,159.9,62.0,239.91,7,N,Y,Y,Y,Y,Y,Y,Y
193,3665,貿聯-KY,電子工業,2115.0,強勢,31.27,0.49,49.0,下降,11,64.5,12,8.84,上升,101.0,160.6,206.1,1711.84,7,N,Y,Y,Y,Y,Y,Y,Y
194,6005,群益證,金融保險,34.15,強勢,22.01,3.5,74.4,上升,10,86.2,12,1.97,下降,63.0,160.7,23.88,27.63,7,N,Y,Y,Y,Y,Y,Y,Y
