股票代號,股票名稱,產業別,收盤價,MA20,評分,外資近3日淨買超,投信近3日淨買超,自營商,外資連買天數
2344,華邦電,半導體業,197.0,156.325,101889841.2,84908201.0,17019870.0,-1269998,3.0
1303,南亞,塑膠工業,115.0,99.61,53501778.0,44584815.0,895813.0,-755091,3.0
2897,王道銀行,金融保險,10.5,10.1855,7308700.0,7308700.0,0.0,-5000,3.0
3044,健鼎,電子工業,546.0,501.675,6241608.75,4993287.0,126000.0,51277,3.0
8131,福懋科,半導體業,76.0,69.425,4170264.0,4170264.0,0.0,-60606,3.0
5469,瀚宇博,電子工業,85.7,83.80499999999999,2855996.0,2855996.0,-3000.0,-27334,3.0
6179,亞通,其他,25.3,24.1675,1544508.0,1470960.0,0.0,222280,3.0
4551,智伸科,汽車工業,183.5,152.175,928411.05,884201.0,0.0,16115,3.0
4541,晟田,其他,48.0,45.985,921450.6,877572.0,0.0,3015,3.0
3360,尚立,電子通路業,15.3,14.5875,774696.0,774696.0,0.0,-65,3.0
5302,太欣,半導體業,12.7,10.842,759693.9,723518.0,0.0,4447,3.0
2535,達欣工,建材營造,96.6,83.31,687108.0,687108.0,-1000.0,-10274,3.0
2832,台產,金融保險,54.5,53.904999999999994,604600.0,604600.0,0.0,-25000,3.0
8074,鉅橡,電子零組件業,77.0,74.485,540358.35,514627.0,0.0,89509,3.0
6465,威潤,通信網路業,64.0,53.532500000000006,445005.0,445005.0,0.0,-8417,3.0
3290,東浦,電子零組件業,66.0,52.11749999999999,307878.9,293218.0,0.0,93086,3.0
1725,元禎,化學生技醫療,33.8,31.99,229894.0,229894.0,0.0,0,3.0
6498,久禾光,光電業,104.5,102.72999999999999,154361.55,147011.0,0.0,5000,3.0
6949,沛爾生醫-創,創新板股票,814.0,683.75,122535.0,116700.0,0.0,493,3.0
8032,光菱,電子通路業,46.15,44.415,84000.0,84000.0,0.0,-181,3.0
1341,富林-KY,塑膠工業,62.3,62.17,8014.0,8014.0,0.0,0,3.0
2845,遠東銀,金融保險,12.95,12.334999999999999,21705578.4,18087982.0,7660000.0,-3000,3.0
5483,中美晶,半導體業,175.0,157.125,19417350.0,15533880.0,1761141.0,558556,3.0
4904,遠傳,通信網路業,112.5,100.58500000000001,10522131.0,10522131.0,-3194743.0,-50000,3.0
6269,台郡,電子工業,73.3,67.14,5314781.0,5314781.0,-2000.0,-29278,3.0
2034,允強,鋼鐵工業,20.7,20.2125,4426231.95,4215459.0,0.0,27508,3.0
6488,環球晶,半導體業,1045.0,854.7,4411502.4,3676252.0,1213382.0,-49028,3.0
1909,榮成,造紙工業,10.05,9.359,3242480.0,3242480.0,0.0,-11935,3.0
1905,華紙,造紙工業,14.15,12.565000000000001,2154292.35,2051707.0,-5000.0,16475,3.0
6944,兆聯實業,綠能環保,998.0,935.65,1590667.2,1325556.0,1932.0,-19369,3.0
3303,岱稜,其他電子類,59.7,51.5825,1428266.7,1360254.0,0.0,13000,3.0
2243,宏旭-KY,汽車工業,44.95,28.759999999999998,922423.95,878499.0,-1000.0,6658,3.0
1907,永豐餘,造紙工業,26.95,25.160000000000004,789419.0,789419.0,-37647.0,-135169,3.0
3546,宇峻,文化創意業,86.6,82.135,435217.65,414493.0,0.0,60391,3.0
8249,菱光,電子工業,53.8,53.30499999999999,429000.0,429000.0,0.0,-4586,3.0
2061,風青,電器電纜,43.7,35.207499999999996,340000.0,340000.0,0.0,-38852,3.0
9940,信義,其他,20.25,19.145,260697.0,260697.0,0.0,-12000,3.0
2739,寒舍,觀光餐旅,36.5,35.4325,89900.0,89900.0,0.0,-1000,3.0
2380,虹光,電子工業,6.6,5.815499999999999,25999.0,25999.0,0.0,0,3.0
3041,揚智,半導體業,26.4,25.33,3548248.0,3548248.0,0.0,-17551,3.0
2910,統領,貿易百貨,23.65,21.76,27800.0,27800.0,0.0,0,3.0
