排行,代號,名稱,產業,目前股價,MA240,240MA乖離率,配息頻率,指標1得分(殖利率),指標2得分(填息),指標3得分(連續配息),指標4得分(上市時間),指標5得分(連續獲利),指標6得分(ROA),指標7得分(本業佔比),總分,評級,原始評級,5年平均殖利率,5年平均填息天數,10年平均ROA,平均本業佔比,近3月營收YoY,最新月MoM,備註
66,9933,中鼎,其他,34.35,29.451182083333332,16.633688599680863,年配,1,1,1,1,1,0,1,6,入選,入選,4.501275777106801,63.833333333333336,3.3493135003840697,0.9404035828983762,-22.70062861031652,71.3594689739699,營收衰退警示 | 營運動能復甦中 | ROA 偏低，注意營運效率
67,6205,詮欣,電子,54.5,46.63055791666667,16.876148248958952,年配,0,1,1,1,1,1,1,6,入選,入選,3.480622302744962,75.83333333333333,6.685735115914193,0.8200764450720375,-11.151276795416376,7.806725063577291,
68,8091,翔名,半導體,133.5,113.486645,17.63498691850482,年配,1,1,1,1,1,2,1,8,入選,入選,4.975362628361967,61.833333333333336,8.559635569621216,0.9118181156058185,14.502413474376086,-1.126324029843595,
69,5347,世界,半導體,116.0,98.06348458333333,18.29071799036919,年配,1,1,1,1,1,2,1,8,入選,入選,4.257608562882763,153.33333333333334,13.724016391836951,0.8755336346681512,9.011359621157844,31.279926031106562,營運動能復甦中
70,1215,卜蜂,食品餐飲,152.5,127.87814875000001,19.254150525853614,年配,1,1,1,1,1,2,1,8,入選,入選,4.465586163540711,207.5,8.499404128804372,0.9893814148949029,3.457169314061481,10.783026548865093,填息龜速警示
71,5511,德昌,傳統產業,73.1,60.929343333333335,19.975033376091407,年配,1,1,1,1,1,1,1,7,入選,入選,6.0866645600524345,172.83333333333334,5.603550973447927,0.901815459107489,31.738988404151947,102.0614360591864,
72,2484,希華,電子,26.6,22.147754583333334,20.102468626851582,年配,1,1,1,1,1,1,1,7,入選,入選,4.164366040669058,135.33333333333334,5.837604257130419,0.8077912285885003,5.087364479797896,-4.929501377559287,
73,2301,光寶科,電子,165.0,137.2536075,20.215419474493608,季配,1,1,1,1,1,1,1,7,入選,入選,5.816026377215159,123.33333333333333,5.289157877113221,0.8023688251939453,15.827841044993596,4.638172210570057,
74,6197,佳必琪,電子,175.5,144.93201041666666,21.091261685705657,年配,1,1,1,1,1,2,1,8,入選,入選,5.561725607797768,82.0,8.638899686513431,0.8513569732516721,11.410060017976399,4.135151998336162,
75,1582,信錦,電子,86.6,70.80390000000001,22.30964678499345,年配,1,1,1,1,1,1,1,7,入選,入選,5.986014377096481,202.16666666666666,7.6974836932642585,0.8434306268269951,-6.200091795398254,-4.780415836085816,填息龜速警示
76,3659,百辰,電子,33.0,26.59132833333333,24.10060748500907,年配,1,1,1,1,1,0,1,6,入選,入選,5.204245305306277,58.0,4.600977460838826,0.97473794627439,,,ROA 偏低，注意營運效率
77,3624,光頡,電子,51.8,41.55097958333333,24.666134275153624,年配,0,1,1,1,1,1,1,6,入選,入選,3.154689961719623,52.833333333333336,6.810382715821456,0.9432431114780953,11.895784098402284,7.864593362106609,
78,9918,欣天然,傳統產業,46.9,37.54399875,24.920097915782076,年配,0,1,1,1,1,1,1,6,入選,入選,3.449345518449524,610.8333333333334,5.532394787361431,0.8762932225283937,-3.793755589119985,18.51093421300922,填息龜速警示
79,2441,超豐,電子,84.3,66.9701225,25.877028222548038,年配,1,1,1,1,1,2,1,8,入選,入選,5.0949073558231035,205.83333333333334,12.348984860853744,0.9319155273786723,10.50747257671485,-2.5568324945840493,填息龜速警示
80,3357,臺慶科,電子,161.0,126.93083333333334,26.84073347032832,年配,1,1,1,0,1,2,1,7,入選,入選,4.764861781894324,35.166666666666664,8.908351582239414,0.8320585524194797,20.810676584279086,5.1820476746390565,
81,2303,聯電,半導體,60.5,47.12321958333334,28.386813411615442,年配,1,1,1,1,1,1,1,7,入選,入選,5.205345306821887,176.8,6.590651830812862,0.8683534106313141,2.357222546708182,-9.198158958195378,
82,8048,德勝,電子,60.9,47.16266875,29.1275528168664,年配,1,1,1,1,1,2,1,8,入選,入選,5.371576340808793,249.0,11.930989293084545,0.7516620030845961,14.465737169979231,-13.769488102000881,填息龜速警示
83,3044,健鼎,電子,362.0,280.3140379166667,29.140874531448684,年配,1,1,1,1,1,1,1,7,入選,入選,5.117201488467746,208.33333333333334,7.40597663220944,0.8599186913526353,11.345809627843796,-0.430558561653549,填息龜速警示
84,3684,榮昌,電子,57.9,44.59899291666667,29.823559263291656,年配,1,1,1,1,1,1,1,7,入選,入選,4.418359945546379,13.5,9.70089842241742,0.987405730952424,0.9377708313271782,5.250014935181313,
85,8261,富鼎,電子,112.5,86.35555333333333,30.275350753354367,年配,0,1,1,1,1,1,1,6,入選,入選,3.2316711863588803,161.5,7.781589468387798,0.8828293395284122,-6.020415548729774,-7.4153588096260385,
86,4908,前鼎,電子,104.5,79.86863833333334,30.839841745976926,年配,0,1,1,1,1,1,1,6,入選,入選,3.684384182707413,10.0,8.777253448485574,0.9162596527299461,-33.27179255161946,3.89092458457605,營收衰退警示
87,2478,大毅,電子,68.0,51.603793333333336,31.77325852918564,年配,1,1,1,1,1,1,1,7,入選,入選,4.257596900049084,365.8333333333333,6.4750662345339105,0.8884262673799682,1.9657008784531582,4.494442021697931,填息龜速警示
88,2472,立隆電,電子,119.5,89.63727708333333,33.31507146173585,年配,1,1,1,1,1,2,1,8,入選,入選,4.249040757172072,118.5,8.734034420187797,0.9286451056771489,4.2166466138853,1.2570983651166712,
89,5234,達興材料,電子,399.5,299.54268833333333,33.36997214748685,年配,1,1,1,1,1,2,1,8,入選,入選,4.190923160129844,83.16666666666667,12.904867464689284,0.968973784743854,11.14658632280694,11.34959217846918,
90,3455,由田,電子,129.0,95.57700541666667,34.969702636765234,年配,2,1,1,1,1,1,1,8,入選,入選,6.397782009165524,80.5,8.20307708680569,0.9211703566305612,-35.456340217166286,-14.508953859865104,營收衰退警示
91,3426,台興,傳統產業,47.4,34.898349583333335,35.823041965964975,年配,2,1,1,0,1,2,1,8,入選,優選,5.219460257459233,126.5,8.563052927616264,0.7916926197844787,-40.724553506606654,-24.809700235769615,營收衰退降評
92,6530,創威,電子,79.0,57.90179625,36.437908867119134,年配,1,1,1,0,1,1,1,6,入選,入選,4.250952130996245,90.5,7.0062359811201365,0.9429025077830661,10.347419857165875,7.187267821530519,
93,8210,勤誠,電子,888.0,637.0715825000001,39.3877900683162,年配,0,1,1,1,1,2,1,7,入選,入選,3.375123175434538,185.5,11.012717449684427,0.9257999615718175,74.3884245431231,33.09645761795541,填息龜速警示
94,8103,瀚荃,電子,86.5,61.78950791666667,39.99140455473362,年配,1,1,1,1,1,1,1,7,入選,入選,4.207508314561637,25.333333333333332,5.128646443054883,0.9078947104314137,7.555369586791616,12.569343016222124,
95,6213,聯茂,電子,140.0,99.72022666666666,40.392781564743075,年配,0,1,1,1,1,1,1,6,入選,入選,3.389376463893043,114.0,6.63520075788032,0.9314297494692662,16.341864805131266,5.798359819857812,
96,6285,啟碁,電子,175.0,123.27344958333335,41.96082010481852,年配,0,1,1,1,1,1,1,6,入選,入選,3.657872599522434,126.33333333333333,5.428134971721758,0.8372425520213651,-3.340900267281033,11.179985746226716,
97,6257,矽格,半導體,130.0,91.28544000000001,42.41044354937654,年配,1,1,1,1,1,2,1,8,入選,入選,5.503528559592138,35.0,7.290460480137014,0.8848030522019839,7.12132260045506,3.5237791804083374,
98,8155,博智,電子,215.0,150.77933375,42.59248575569462,年配,0,1,1,1,1,1,1,6,入選,入選,3.8498888444559056,143.0,10.944750999801544,0.9594462697283941,42.434442534105024,13.891542304138804,
99,8064,東捷,電子,61.8,42.26372666666667,46.22468219003875,年配,1,1,1,1,1,0,1,6,入選,入選,4.180089043765275,67.83333333333333,2.901700235801411,0.846992290287005,75.94615859528864,97.84532033457711,營運動能復甦中 | ROA 偏低，注意營運效率
